"item_id","category","skill_module","difficulty_tier","response_count","facility_index","discrimination_index","mean_time_seconds","high_confidence_accuracy","retirement_recommendation"
"ACC_001","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_002","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_003","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_004","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_005","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_006","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_007","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_008","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_009","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_010","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_011","A","Evidence Evaluation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_012","A","Rhetorical Inference","C1-high","0","","","","","awaiting-pilot-data"
"ACC_013","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_014","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_015","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_016","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_017","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_018","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_019","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_020","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_021","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_022","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_023","A","Evidence Evaluation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_024","A","Rhetorical Inference","C1-high","0","","","","","awaiting-pilot-data"
"ACC_025","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_026","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_027","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_028","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_029","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_030","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_031","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_032","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_033","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_034","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_035","A","Evidence Evaluation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_036","A","Rhetorical Inference","C1-high","0","","","","","awaiting-pilot-data"
"ACC_037","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_038","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_039","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_040","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_041","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_042","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_043","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_044","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_045","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_046","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_047","A","Evidence Evaluation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_048","A","Rhetorical Inference","C1-high","0","","","","","awaiting-pilot-data"
"ACC_049","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_050","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_051","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_052","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_053","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_054","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_055","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_056","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_057","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_058","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_059","A","Evidence Evaluation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_060","A","Rhetorical Inference","C1-high","0","","","","","awaiting-pilot-data"
"ACC_061","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_062","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_063","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_064","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_065","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_066","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_067","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_068","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_069","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_070","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_071","A","Evidence Evaluation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_072","A","Rhetorical Inference","C1-high","0","","","","","awaiting-pilot-data"
"ACC_073","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_074","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_075","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_076","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_077","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_078","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_079","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_080","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_081","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_082","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_083","A","Evidence Evaluation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_084","A","Rhetorical Inference","C1-high","0","","","","","awaiting-pilot-data"
"ACC_085","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_086","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_087","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_088","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_089","A","Evidence Evaluation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_090","A","Rhetorical Inference","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_091","A","Reading Synthesis","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_092","A","Evidence Evaluation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_093","A","Rhetorical Inference","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_094","A","Reading Synthesis","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_095","A","Evidence Evaluation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_096","A","Rhetorical Inference","C1-high","0","","","","","awaiting-pilot-data"
"ACC_097","A","Reading Synthesis","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_098","A","Evidence Evaluation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_099","A","Rhetorical Inference","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_100","A","Reading Synthesis","C1-high","0","","","","","awaiting-pilot-data"
"ACC_101","B","Use of Academic English","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_102","B","Abstract Revision","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_103","B","Lexico-Syntactic Control","C1-high","0","","","","","awaiting-pilot-data"
"ACC_104","B","Use of Academic English","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_105","B","Abstract Revision","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_106","B","Lexico-Syntactic Control","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_107","B","Use of Academic English","C1-high","0","","","","","awaiting-pilot-data"
"ACC_108","B","Abstract Revision","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_109","B","Lexico-Syntactic Control","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_110","B","Use of Academic English","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_111","B","Abstract Revision","C1-high","0","","","","","awaiting-pilot-data"
"ACC_112","B","Lexico-Syntactic Control","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_113","B","Use of Academic English","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_114","B","Abstract Revision","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_115","B","Lexico-Syntactic Control","C1-high","0","","","","","awaiting-pilot-data"
"ACC_116","B","Use of Academic English","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_117","B","Abstract Revision","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_118","B","Lexico-Syntactic Control","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_119","B","Use of Academic English","C1-high","0","","","","","awaiting-pilot-data"
"ACC_120","B","Abstract Revision","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_121","B","Lexico-Syntactic Control","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_122","B","Use of Academic English","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_123","B","Abstract Revision","C1-high","0","","","","","awaiting-pilot-data"
"ACC_124","B","Lexico-Syntactic Control","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_125","B","Use of Academic English","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_126","B","Abstract Revision","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_127","B","Lexico-Syntactic Control","C1-high","0","","","","","awaiting-pilot-data"
"ACC_128","B","Use of Academic English","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_129","B","Abstract Revision","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_130","B","Lexico-Syntactic Control","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_131","B","Use of Academic English","C1-high","0","","","","","awaiting-pilot-data"
"ACC_132","B","Abstract Revision","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_133","B","Lexico-Syntactic Control","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_134","B","Use of Academic English","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_135","B","Abstract Revision","C1-high","0","","","","","awaiting-pilot-data"
"ACC_136","B","Lexico-Syntactic Control","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_137","B","Use of Academic English","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_138","B","Abstract Revision","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_139","B","Lexico-Syntactic Control","C1-high","0","","","","","awaiting-pilot-data"
"ACC_140","B","Use of Academic English","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_141","B","Abstract Revision","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_142","B","Lexico-Syntactic Control","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_143","B","Use of Academic English","C1-high","0","","","","","awaiting-pilot-data"
"ACC_144","B","Abstract Revision","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_145","B","Lexico-Syntactic Control","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_146","B","Use of Academic English","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_147","B","Abstract Revision","C1-high","0","","","","","awaiting-pilot-data"
"ACC_148","B","Lexico-Syntactic Control","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_149","B","Use of Academic English","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_150","B","Abstract Revision","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_151","B","Lexico-Syntactic Control","C1-high","0","","","","","awaiting-pilot-data"
"ACC_152","B","Use of Academic English","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_153","B","Abstract Revision","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_154","B","Lexico-Syntactic Control","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_155","B","Use of Academic English","C1-high","0","","","","","awaiting-pilot-data"
"ACC_156","B","Abstract Revision","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_157","B","Lexico-Syntactic Control","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_158","B","Use of Academic English","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_159","B","Abstract Revision","C1-high","0","","","","","awaiting-pilot-data"
"ACC_160","B","Lexico-Syntactic Control","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_161","B","Use of Academic English","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_162","B","Abstract Revision","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_163","B","Lexico-Syntactic Control","C1-high","0","","","","","awaiting-pilot-data"
"ACC_164","B","Use of Academic English","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_165","B","Abstract Revision","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_166","B","Lexico-Syntactic Control","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_167","B","Use of Academic English","C1-high","0","","","","","awaiting-pilot-data"
"ACC_168","B","Abstract Revision","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_169","B","Lexico-Syntactic Control","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_170","B","Use of Academic English","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_171","B","Abstract Revision","C1-high","0","","","","","awaiting-pilot-data"
"ACC_172","B","Lexico-Syntactic Control","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_173","B","Use of Academic English","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_174","B","Abstract Revision","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_175","B","Lexico-Syntactic Control","C1-high","0","","","","","awaiting-pilot-data"
"ACC_176","B","Use of Academic English","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_177","B","Abstract Revision","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_178","B","Lexico-Syntactic Control","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_179","B","Use of Academic English","C1-high","0","","","","","awaiting-pilot-data"
"ACC_180","B","Abstract Revision","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_181","B","Lexico-Syntactic Control","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_182","B","Use of Academic English","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_183","B","Abstract Revision","C1-high","0","","","","","awaiting-pilot-data"
"ACC_184","B","Lexico-Syntactic Control","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_185","B","Use of Academic English","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_186","B","Abstract Revision","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_187","B","Lexico-Syntactic Control","C1-high","0","","","","","awaiting-pilot-data"
"ACC_188","B","Use of Academic English","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_189","B","Abstract Revision","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_190","B","Lexico-Syntactic Control","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_191","B","Use of Academic English","C1-high","0","","","","","awaiting-pilot-data"
"ACC_192","B","Abstract Revision","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_193","B","Lexico-Syntactic Control","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_194","B","Use of Academic English","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_195","B","Abstract Revision","C1-high","0","","","","","awaiting-pilot-data"
"ACC_196","B","Lexico-Syntactic Control","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_197","B","Use of Academic English","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_198","B","Abstract Revision","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_199","B","Lexico-Syntactic Control","C1-high","0","","","","","awaiting-pilot-data"
"ACC_200","B","Use of Academic English","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_201","C","Data Interpretation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_202","C","Methodological Reasoning","C1-high","0","","","","","awaiting-pilot-data"
"ACC_203","C","Evidence-to-Claim Mapping","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_204","C","Data Interpretation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_205","C","Methodological Reasoning","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_206","C","Evidence-to-Claim Mapping","C1-high","0","","","","","awaiting-pilot-data"
"ACC_207","C","Data Interpretation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_208","C","Methodological Reasoning","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_209","C","Evidence-to-Claim Mapping","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_210","C","Data Interpretation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_211","C","Methodological Reasoning","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_212","C","Evidence-to-Claim Mapping","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_213","C","Data Interpretation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_214","C","Methodological Reasoning","C1-high","0","","","","","awaiting-pilot-data"
"ACC_215","C","Evidence-to-Claim Mapping","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_216","C","Data Interpretation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_217","C","Methodological Reasoning","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_218","C","Evidence-to-Claim Mapping","C1-high","0","","","","","awaiting-pilot-data"
"ACC_219","C","Data Interpretation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_220","C","Methodological Reasoning","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_221","C","Evidence-to-Claim Mapping","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_222","C","Data Interpretation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_223","C","Methodological Reasoning","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_224","C","Evidence-to-Claim Mapping","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_225","C","Data Interpretation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_226","C","Methodological Reasoning","C1-high","0","","","","","awaiting-pilot-data"
"ACC_227","C","Evidence-to-Claim Mapping","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_228","C","Data Interpretation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_229","C","Methodological Reasoning","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_230","C","Evidence-to-Claim Mapping","C1-high","0","","","","","awaiting-pilot-data"
"ACC_231","C","Data Interpretation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_232","C","Methodological Reasoning","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_233","C","Evidence-to-Claim Mapping","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_234","C","Data Interpretation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_235","C","Methodological Reasoning","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_236","C","Evidence-to-Claim Mapping","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_237","C","Data Interpretation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_238","C","Methodological Reasoning","C1-high","0","","","","","awaiting-pilot-data"
"ACC_239","C","Evidence-to-Claim Mapping","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_240","C","Data Interpretation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_241","C","Methodological Reasoning","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_242","C","Evidence-to-Claim Mapping","C1-high","0","","","","","awaiting-pilot-data"
"ACC_243","C","Data Interpretation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_244","C","Methodological Reasoning","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_245","C","Evidence-to-Claim Mapping","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_246","C","Data Interpretation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_247","C","Methodological Reasoning","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_248","C","Evidence-to-Claim Mapping","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_249","C","Data Interpretation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_250","C","Methodological Reasoning","C1-high","0","","","","","awaiting-pilot-data"
"ACC_251","C","Evidence-to-Claim Mapping","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_252","C","Data Interpretation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_253","C","Methodological Reasoning","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_254","C","Evidence-to-Claim Mapping","C1-high","0","","","","","awaiting-pilot-data"
"ACC_255","C","Data Interpretation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_256","C","Methodological Reasoning","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_257","C","Evidence-to-Claim Mapping","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_258","C","Data Interpretation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_259","C","Methodological Reasoning","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_260","C","Evidence-to-Claim Mapping","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_261","C","Data Interpretation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_262","C","Methodological Reasoning","C1-high","0","","","","","awaiting-pilot-data"
"ACC_263","C","Evidence-to-Claim Mapping","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_264","C","Data Interpretation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_265","C","Methodological Reasoning","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_266","C","Evidence-to-Claim Mapping","C1-high","0","","","","","awaiting-pilot-data"
"ACC_267","C","Data Interpretation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_268","C","Methodological Reasoning","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_269","C","Evidence-to-Claim Mapping","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_270","C","Data Interpretation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_271","C","Methodological Reasoning","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_272","C","Evidence-to-Claim Mapping","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_273","C","Data Interpretation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_274","C","Methodological Reasoning","C1-high","0","","","","","awaiting-pilot-data"
"ACC_275","C","Evidence-to-Claim Mapping","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_276","C","Data Interpretation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_277","C","Methodological Reasoning","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_278","C","Evidence-to-Claim Mapping","C1-high","0","","","","","awaiting-pilot-data"
"ACC_279","C","Data Interpretation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_280","C","Methodological Reasoning","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_281","C","Evidence-to-Claim Mapping","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_282","C","Data Interpretation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_283","C","Methodological Reasoning","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_284","C","Evidence-to-Claim Mapping","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_285","C","Data Interpretation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_286","C","Methodological Reasoning","C1-high","0","","","","","awaiting-pilot-data"
"ACC_287","C","Evidence-to-Claim Mapping","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_288","C","Data Interpretation","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_289","C","Methodological Reasoning","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_290","C","Evidence-to-Claim Mapping","C1-high","0","","","","","awaiting-pilot-data"
"ACC_291","C","Data Interpretation","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_292","C","Methodological Reasoning","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_293","C","Evidence-to-Claim Mapping","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_294","C","Data Interpretation","C1-high","0","","","","","awaiting-pilot-data"
"ACC_295","C","Methodological Reasoning","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_296","C","Evidence-to-Claim Mapping","C2-secure","0","","","","","awaiting-pilot-data"
"ACC_297","C","Data Interpretation","PhD-screening","0","","","","","awaiting-pilot-data"
"ACC_298","C","Methodological Reasoning","C1-high","0","","","","","awaiting-pilot-data"
"ACC_299","C","Evidence-to-Claim Mapping","C2-entry","0","","","","","awaiting-pilot-data"
"ACC_300","C","Data Interpretation","C2-secure","0","","","","","awaiting-pilot-data"
