"priority","item_id","category","skill_module","difficulty_tier","source_domain","reasons"
"P3","ACC_001","A","Reading Synthesis","C2-entry","computational structural biology",""
"P3","ACC_002","A","Evidence Evaluation","C2-secure","climate informatics",""
"P3","ACC_003","A","Rhetorical Inference","PhD-screening","atmospheric modelling",""
"P3","ACC_004","A","Reading Synthesis","C1-high","earth-system AI",""
"P3","ACC_005","A","Evidence Evaluation","C2-entry","climate modelling",""
"P3","ACC_006","A","Rhetorical Inference","C2-secure","clinical AI",""
"P3","ACC_007","A","Reading Synthesis","PhD-screening","translational medicine",""
"P3","ACC_008","A","Evidence Evaluation","C1-high","computational pathology",""
"P3","ACC_009","A","Rhetorical Inference","C2-entry","multimodal pathology",""
"P3","ACC_010","A","Reading Synthesis","C2-secure","meta-science",""
"P3","ACC_011","A","Evidence Evaluation","PhD-screening","research evaluation",""
"P3","ACC_012","A","Rhetorical Inference","C1-high","science communication",""
"P3","ACC_013","A","Reading Synthesis","C2-entry","energy systems",""
"P3","ACC_014","A","Evidence Evaluation","C2-secure","clean-energy planning",""
"P3","ACC_015","A","Rhetorical Inference","PhD-screening","permafrost carbon science",""
"P3","ACC_016","A","Reading Synthesis","C1-high","cryosphere geochemistry",""
"P3","ACC_017","A","Evidence Evaluation","C2-entry","carbon-cycle science",""
"P3","ACC_018","A","Rhetorical Inference","C2-secure","atmospheric health science",""
"P3","ACC_019","A","Reading Synthesis","PhD-screening","climate attribution",""
"P3","ACC_020","A","Evidence Evaluation","C1-high","environmental epidemiology",""
"P3","ACC_021","A","Rhetorical Inference","C2-entry","exoplanet spectroscopy",""
"P3","ACC_022","A","Reading Synthesis","C2-secure","planetary atmospheres",""
"P3","ACC_023","A","Evidence Evaluation","PhD-screening","exoplanet atmospheric science",""
"P3","ACC_024","A","Rhetorical Inference","C1-high","conservation genomics",""
"P3","ACC_025","A","Reading Synthesis","C2-entry","biodiversity monitoring",""
"P3","ACC_026","A","Evidence Evaluation","C2-secure","machine learning methodology",""
"P3","ACC_027","A","Rhetorical Inference","PhD-screening","tabular machine learning",""
"P3","ACC_028","A","Reading Synthesis","C1-high","robotics",""
"P3","ACC_029","A","Evidence Evaluation","C2-entry","robotic perception",""
"P3","ACC_030","A","Rhetorical Inference","C2-secure","embodied AI",""
"P3","ACC_031","A","Reading Synthesis","PhD-screening","computational structural biology",""
"P3","ACC_032","A","Evidence Evaluation","C1-high","climate informatics",""
"P3","ACC_033","A","Rhetorical Inference","C2-entry","atmospheric modelling",""
"P3","ACC_034","A","Reading Synthesis","C2-secure","earth-system AI",""
"P3","ACC_035","A","Evidence Evaluation","PhD-screening","climate modelling",""
"P3","ACC_036","A","Rhetorical Inference","C1-high","clinical AI",""
"P3","ACC_037","A","Reading Synthesis","C2-entry","translational medicine",""
"P3","ACC_038","A","Evidence Evaluation","C2-secure","computational pathology",""
"P3","ACC_039","A","Rhetorical Inference","PhD-screening","multimodal pathology",""
"P3","ACC_040","A","Reading Synthesis","C1-high","meta-science",""
"P3","ACC_041","A","Evidence Evaluation","C2-entry","research evaluation",""
"P3","ACC_042","A","Rhetorical Inference","C2-secure","science communication",""
"P3","ACC_043","A","Reading Synthesis","PhD-screening","energy systems",""
"P3","ACC_044","A","Evidence Evaluation","C1-high","clean-energy planning",""
"P3","ACC_045","A","Rhetorical Inference","C2-entry","permafrost carbon science",""
"P3","ACC_046","A","Reading Synthesis","C2-secure","cryosphere geochemistry",""
"P3","ACC_047","A","Evidence Evaluation","PhD-screening","carbon-cycle science",""
"P3","ACC_048","A","Rhetorical Inference","C1-high","atmospheric health science",""
"P3","ACC_049","A","Reading Synthesis","C2-entry","climate attribution",""
"P3","ACC_050","A","Evidence Evaluation","C2-secure","environmental epidemiology",""
"P3","ACC_051","A","Rhetorical Inference","PhD-screening","exoplanet spectroscopy",""
"P3","ACC_052","A","Reading Synthesis","C1-high","planetary atmospheres",""
"P3","ACC_053","A","Evidence Evaluation","C2-entry","exoplanet atmospheric science",""
"P3","ACC_054","A","Rhetorical Inference","C2-secure","conservation genomics",""
"P3","ACC_055","A","Reading Synthesis","PhD-screening","biodiversity monitoring",""
"P3","ACC_056","A","Evidence Evaluation","C1-high","machine learning methodology",""
"P3","ACC_057","A","Rhetorical Inference","C2-entry","tabular machine learning",""
"P3","ACC_058","A","Reading Synthesis","C2-secure","robotics",""
"P3","ACC_059","A","Evidence Evaluation","PhD-screening","robotic perception",""
"P3","ACC_060","A","Rhetorical Inference","C1-high","embodied AI",""
"P3","ACC_061","A","Reading Synthesis","C2-entry","computational structural biology",""
"P3","ACC_062","A","Evidence Evaluation","C2-secure","climate informatics",""
"P3","ACC_063","A","Rhetorical Inference","PhD-screening","atmospheric modelling",""
"P3","ACC_064","A","Reading Synthesis","C1-high","earth-system AI",""
"P3","ACC_065","A","Evidence Evaluation","C2-entry","climate modelling",""
"P3","ACC_066","A","Rhetorical Inference","C2-secure","clinical AI",""
"P3","ACC_067","A","Reading Synthesis","PhD-screening","translational medicine",""
"P3","ACC_068","A","Evidence Evaluation","C1-high","computational pathology",""
"P3","ACC_069","A","Rhetorical Inference","C2-entry","multimodal pathology",""
"P3","ACC_070","A","Reading Synthesis","C2-secure","meta-science",""
"P3","ACC_071","A","Evidence Evaluation","PhD-screening","research evaluation",""
"P3","ACC_072","A","Rhetorical Inference","C1-high","science communication",""
"P3","ACC_073","A","Reading Synthesis","C2-entry","energy systems",""
"P3","ACC_074","A","Evidence Evaluation","C2-secure","clean-energy planning",""
"P3","ACC_075","A","Rhetorical Inference","PhD-screening","permafrost carbon science",""
"P3","ACC_076","A","Reading Synthesis","C1-high","cryosphere geochemistry",""
"P3","ACC_077","A","Evidence Evaluation","C2-entry","carbon-cycle science",""
"P3","ACC_078","A","Rhetorical Inference","C2-secure","atmospheric health science",""
"P3","ACC_079","A","Reading Synthesis","PhD-screening","climate attribution",""
"P3","ACC_080","A","Evidence Evaluation","C1-high","environmental epidemiology",""
"P3","ACC_081","A","Rhetorical Inference","C2-entry","exoplanet spectroscopy",""
"P3","ACC_082","A","Reading Synthesis","C2-secure","planetary atmospheres",""
"P3","ACC_083","A","Evidence Evaluation","PhD-screening","exoplanet atmospheric science",""
"P3","ACC_084","A","Rhetorical Inference","C1-high","conservation genomics",""
"P3","ACC_085","A","Reading Synthesis","C2-entry","biodiversity monitoring",""
"P3","ACC_086","A","Evidence Evaluation","C2-secure","machine learning methodology",""
"P3","ACC_087","A","Rhetorical Inference","PhD-screening","tabular machine learning",""
"P3","ACC_088","A","Reading Synthesis","C1-high","robotics",""
"P3","ACC_089","A","Evidence Evaluation","C2-entry","robotic perception",""
"P3","ACC_090","A","Rhetorical Inference","C2-secure","embodied AI",""
"P3","ACC_091","A","Reading Synthesis","PhD-screening","computational structural biology",""
"P3","ACC_092","A","Evidence Evaluation","C1-high","climate informatics",""
"P3","ACC_093","A","Rhetorical Inference","C2-entry","atmospheric modelling",""
"P3","ACC_094","A","Reading Synthesis","C2-secure","earth-system AI",""
"P3","ACC_095","A","Evidence Evaluation","PhD-screening","climate modelling",""
"P3","ACC_096","A","Rhetorical Inference","C1-high","clinical AI",""
"P3","ACC_097","A","Reading Synthesis","C2-entry","translational medicine",""
"P3","ACC_098","A","Evidence Evaluation","C2-secure","computational pathology",""
"P3","ACC_099","A","Rhetorical Inference","PhD-screening","multimodal pathology",""
"P3","ACC_100","A","Reading Synthesis","C1-high","meta-science",""
"P3","ACC_101","B","Use of Academic English","C2-secure","research evaluation",""
"P3","ACC_102","B","Abstract Revision","PhD-screening","science communication",""
"P3","ACC_103","B","Lexico-Syntactic Control","C1-high","energy systems",""
"P3","ACC_104","B","Use of Academic English","C2-entry","clean-energy planning",""
"P3","ACC_105","B","Abstract Revision","C2-secure","permafrost carbon science",""
"P3","ACC_106","B","Lexico-Syntactic Control","PhD-screening","cryosphere geochemistry",""
"P3","ACC_107","B","Use of Academic English","C1-high","carbon-cycle science",""
"P3","ACC_108","B","Abstract Revision","C2-entry","atmospheric health science",""
"P3","ACC_109","B","Lexico-Syntactic Control","C2-secure","climate attribution",""
"P3","ACC_110","B","Use of Academic English","PhD-screening","environmental epidemiology",""
"P3","ACC_111","B","Abstract Revision","C1-high","exoplanet spectroscopy",""
"P3","ACC_112","B","Lexico-Syntactic Control","C2-entry","planetary atmospheres",""
"P3","ACC_113","B","Use of Academic English","C2-secure","exoplanet atmospheric science",""
"P3","ACC_114","B","Abstract Revision","PhD-screening","conservation genomics",""
"P3","ACC_115","B","Lexico-Syntactic Control","C1-high","biodiversity monitoring",""
"P3","ACC_116","B","Use of Academic English","C2-entry","machine learning methodology",""
"P3","ACC_117","B","Abstract Revision","C2-secure","tabular machine learning",""
"P3","ACC_118","B","Lexico-Syntactic Control","PhD-screening","robotics",""
"P3","ACC_119","B","Use of Academic English","C1-high","robotic perception",""
"P3","ACC_120","B","Abstract Revision","C2-entry","embodied AI",""
"P3","ACC_121","B","Lexico-Syntactic Control","C2-secure","computational structural biology",""
"P3","ACC_122","B","Use of Academic English","PhD-screening","climate informatics",""
"P3","ACC_123","B","Abstract Revision","C1-high","atmospheric modelling",""
"P3","ACC_124","B","Lexico-Syntactic Control","C2-entry","earth-system AI",""
"P3","ACC_125","B","Use of Academic English","C2-secure","climate modelling",""
"P3","ACC_126","B","Abstract Revision","PhD-screening","clinical AI",""
"P3","ACC_127","B","Lexico-Syntactic Control","C1-high","translational medicine",""
"P3","ACC_128","B","Use of Academic English","C2-entry","computational pathology",""
"P3","ACC_129","B","Abstract Revision","C2-secure","multimodal pathology",""
"P3","ACC_130","B","Lexico-Syntactic Control","PhD-screening","meta-science",""
"P3","ACC_131","B","Use of Academic English","C1-high","research evaluation",""
"P3","ACC_132","B","Abstract Revision","C2-entry","science communication",""
"P3","ACC_133","B","Lexico-Syntactic Control","C2-secure","energy systems",""
"P3","ACC_134","B","Use of Academic English","PhD-screening","clean-energy planning",""
"P3","ACC_135","B","Abstract Revision","C1-high","permafrost carbon science",""
"P3","ACC_136","B","Lexico-Syntactic Control","C2-entry","cryosphere geochemistry",""
"P3","ACC_137","B","Use of Academic English","C2-secure","carbon-cycle science",""
"P3","ACC_138","B","Abstract Revision","PhD-screening","atmospheric health science",""
"P3","ACC_139","B","Lexico-Syntactic Control","C1-high","climate attribution",""
"P3","ACC_140","B","Use of Academic English","C2-entry","environmental epidemiology",""
"P3","ACC_141","B","Abstract Revision","C2-secure","exoplanet spectroscopy",""
"P3","ACC_142","B","Lexico-Syntactic Control","PhD-screening","planetary atmospheres",""
"P3","ACC_143","B","Use of Academic English","C1-high","exoplanet atmospheric science",""
"P3","ACC_144","B","Abstract Revision","C2-entry","conservation genomics",""
"P3","ACC_145","B","Lexico-Syntactic Control","C2-secure","biodiversity monitoring",""
"P3","ACC_146","B","Use of Academic English","PhD-screening","machine learning methodology",""
"P3","ACC_147","B","Abstract Revision","C1-high","tabular machine learning",""
"P3","ACC_148","B","Lexico-Syntactic Control","C2-entry","robotics",""
"P3","ACC_149","B","Use of Academic English","C2-secure","robotic perception",""
"P3","ACC_150","B","Abstract Revision","PhD-screening","embodied AI",""
"P3","ACC_151","B","Lexico-Syntactic Control","C1-high","computational structural biology",""
"P3","ACC_152","B","Use of Academic English","C2-entry","climate informatics",""
"P3","ACC_153","B","Abstract Revision","C2-secure","atmospheric modelling",""
"P3","ACC_154","B","Lexico-Syntactic Control","PhD-screening","earth-system AI",""
"P3","ACC_155","B","Use of Academic English","C1-high","climate modelling",""
"P3","ACC_156","B","Abstract Revision","C2-entry","clinical AI",""
"P3","ACC_157","B","Lexico-Syntactic Control","C2-secure","translational medicine",""
"P3","ACC_158","B","Use of Academic English","PhD-screening","computational pathology",""
"P3","ACC_159","B","Abstract Revision","C1-high","multimodal pathology",""
"P3","ACC_160","B","Lexico-Syntactic Control","C2-entry","meta-science",""
"P3","ACC_161","B","Use of Academic English","C2-secure","research evaluation",""
"P3","ACC_162","B","Abstract Revision","PhD-screening","science communication",""
"P3","ACC_163","B","Lexico-Syntactic Control","C1-high","energy systems",""
"P3","ACC_164","B","Use of Academic English","C2-entry","clean-energy planning",""
"P3","ACC_165","B","Abstract Revision","C2-secure","permafrost carbon science",""
"P3","ACC_166","B","Lexico-Syntactic Control","PhD-screening","cryosphere geochemistry",""
"P3","ACC_167","B","Use of Academic English","C1-high","carbon-cycle science",""
"P3","ACC_168","B","Abstract Revision","C2-entry","atmospheric health science",""
"P3","ACC_169","B","Lexico-Syntactic Control","C2-secure","climate attribution",""
"P3","ACC_170","B","Use of Academic English","PhD-screening","environmental epidemiology",""
"P3","ACC_171","B","Abstract Revision","C1-high","exoplanet spectroscopy",""
"P3","ACC_172","B","Lexico-Syntactic Control","C2-entry","planetary atmospheres",""
"P3","ACC_173","B","Use of Academic English","C2-secure","exoplanet atmospheric science",""
"P3","ACC_174","B","Abstract Revision","PhD-screening","conservation genomics",""
"P3","ACC_175","B","Lexico-Syntactic Control","C1-high","biodiversity monitoring",""
"P3","ACC_176","B","Use of Academic English","C2-entry","machine learning methodology",""
"P3","ACC_177","B","Abstract Revision","C2-secure","tabular machine learning",""
"P3","ACC_178","B","Lexico-Syntactic Control","PhD-screening","robotics",""
"P3","ACC_179","B","Use of Academic English","C1-high","robotic perception",""
"P3","ACC_180","B","Abstract Revision","C2-entry","embodied AI",""
"P3","ACC_181","B","Lexico-Syntactic Control","C2-secure","computational structural biology",""
"P3","ACC_182","B","Use of Academic English","PhD-screening","climate informatics",""
"P3","ACC_183","B","Abstract Revision","C1-high","atmospheric modelling",""
"P3","ACC_184","B","Lexico-Syntactic Control","C2-entry","earth-system AI",""
"P3","ACC_185","B","Use of Academic English","C2-secure","climate modelling",""
"P3","ACC_186","B","Abstract Revision","PhD-screening","clinical AI",""
"P3","ACC_187","B","Lexico-Syntactic Control","C1-high","translational medicine",""
"P3","ACC_188","B","Use of Academic English","C2-entry","computational pathology",""
"P3","ACC_189","B","Abstract Revision","C2-secure","multimodal pathology",""
"P3","ACC_190","B","Lexico-Syntactic Control","PhD-screening","meta-science",""
"P3","ACC_191","B","Use of Academic English","C1-high","research evaluation",""
"P3","ACC_192","B","Abstract Revision","C2-entry","science communication",""
"P3","ACC_193","B","Lexico-Syntactic Control","C2-secure","energy systems",""
"P3","ACC_194","B","Use of Academic English","PhD-screening","clean-energy planning",""
"P3","ACC_195","B","Abstract Revision","C1-high","permafrost carbon science",""
"P3","ACC_196","B","Lexico-Syntactic Control","C2-entry","cryosphere geochemistry",""
"P3","ACC_197","B","Use of Academic English","C2-secure","carbon-cycle science",""
"P3","ACC_198","B","Abstract Revision","PhD-screening","atmospheric health science",""
"P3","ACC_199","B","Lexico-Syntactic Control","C1-high","climate attribution",""
"P3","ACC_200","B","Use of Academic English","C2-entry","environmental epidemiology",""
"P3","ACC_201","C","Data Interpretation","PhD-screening","exoplanet spectroscopy",""
"P3","ACC_202","C","Methodological Reasoning","C1-high","planetary atmospheres",""
"P3","ACC_203","C","Evidence-to-Claim Mapping","C2-entry","exoplanet atmospheric science",""
"P3","ACC_204","C","Data Interpretation","C2-secure","conservation genomics",""
"P3","ACC_205","C","Methodological Reasoning","PhD-screening","biodiversity monitoring",""
"P3","ACC_206","C","Evidence-to-Claim Mapping","C1-high","machine learning methodology",""
"P3","ACC_207","C","Data Interpretation","C2-entry","tabular machine learning",""
"P3","ACC_208","C","Methodological Reasoning","C2-secure","robotics",""
"P3","ACC_209","C","Evidence-to-Claim Mapping","PhD-screening","robotic perception",""
"P3","ACC_210","C","Data Interpretation","C1-high","embodied AI",""
"P3","ACC_211","C","Methodological Reasoning","C2-entry","computational structural biology",""
"P3","ACC_212","C","Evidence-to-Claim Mapping","C2-secure","climate informatics",""
"P3","ACC_213","C","Data Interpretation","PhD-screening","atmospheric modelling",""
"P3","ACC_214","C","Methodological Reasoning","C1-high","earth-system AI",""
"P3","ACC_215","C","Evidence-to-Claim Mapping","C2-entry","climate modelling",""
"P3","ACC_216","C","Data Interpretation","C2-secure","clinical AI",""
"P3","ACC_217","C","Methodological Reasoning","PhD-screening","translational medicine",""
"P3","ACC_218","C","Evidence-to-Claim Mapping","C1-high","computational pathology",""
"P3","ACC_219","C","Data Interpretation","C2-entry","multimodal pathology",""
"P3","ACC_220","C","Methodological Reasoning","C2-secure","meta-science",""
"P3","ACC_221","C","Evidence-to-Claim Mapping","PhD-screening","research evaluation",""
"P3","ACC_222","C","Data Interpretation","C1-high","science communication",""
"P3","ACC_223","C","Methodological Reasoning","C2-entry","energy systems",""
"P3","ACC_224","C","Evidence-to-Claim Mapping","C2-secure","clean-energy planning",""
"P3","ACC_225","C","Data Interpretation","PhD-screening","permafrost carbon science",""
"P3","ACC_226","C","Methodological Reasoning","C1-high","cryosphere geochemistry",""
"P3","ACC_227","C","Evidence-to-Claim Mapping","C2-entry","carbon-cycle science",""
"P3","ACC_228","C","Data Interpretation","C2-secure","atmospheric health science",""
"P3","ACC_229","C","Methodological Reasoning","PhD-screening","climate attribution",""
"P3","ACC_230","C","Evidence-to-Claim Mapping","C1-high","environmental epidemiology",""
"P3","ACC_231","C","Data Interpretation","C2-entry","exoplanet spectroscopy",""
"P3","ACC_232","C","Methodological Reasoning","C2-secure","planetary atmospheres",""
"P3","ACC_233","C","Evidence-to-Claim Mapping","PhD-screening","exoplanet atmospheric science",""
"P3","ACC_234","C","Data Interpretation","C1-high","conservation genomics",""
"P3","ACC_235","C","Methodological Reasoning","C2-entry","biodiversity monitoring",""
"P3","ACC_236","C","Evidence-to-Claim Mapping","C2-secure","machine learning methodology",""
"P3","ACC_237","C","Data Interpretation","PhD-screening","tabular machine learning",""
"P3","ACC_238","C","Methodological Reasoning","C1-high","robotics",""
"P3","ACC_239","C","Evidence-to-Claim Mapping","C2-entry","robotic perception",""
"P3","ACC_240","C","Data Interpretation","C2-secure","embodied AI",""
"P3","ACC_241","C","Methodological Reasoning","PhD-screening","computational structural biology",""
"P3","ACC_242","C","Evidence-to-Claim Mapping","C1-high","climate informatics",""
"P3","ACC_243","C","Data Interpretation","C2-entry","atmospheric modelling",""
"P3","ACC_244","C","Methodological Reasoning","C2-secure","earth-system AI",""
"P3","ACC_245","C","Evidence-to-Claim Mapping","PhD-screening","climate modelling",""
"P3","ACC_246","C","Data Interpretation","C1-high","clinical AI",""
"P3","ACC_247","C","Methodological Reasoning","C2-entry","translational medicine",""
"P3","ACC_248","C","Evidence-to-Claim Mapping","C2-secure","computational pathology",""
"P3","ACC_249","C","Data Interpretation","PhD-screening","multimodal pathology",""
"P3","ACC_250","C","Methodological Reasoning","C1-high","meta-science",""
"P3","ACC_251","C","Evidence-to-Claim Mapping","C2-entry","research evaluation",""
"P3","ACC_252","C","Data Interpretation","C2-secure","science communication",""
"P3","ACC_253","C","Methodological Reasoning","PhD-screening","energy systems",""
"P3","ACC_254","C","Evidence-to-Claim Mapping","C1-high","clean-energy planning",""
"P3","ACC_255","C","Data Interpretation","C2-entry","permafrost carbon science",""
"P3","ACC_256","C","Methodological Reasoning","C2-secure","cryosphere geochemistry",""
"P3","ACC_257","C","Evidence-to-Claim Mapping","PhD-screening","carbon-cycle science",""
"P3","ACC_258","C","Data Interpretation","C1-high","atmospheric health science",""
"P3","ACC_259","C","Methodological Reasoning","C2-entry","climate attribution",""
"P3","ACC_260","C","Evidence-to-Claim Mapping","C2-secure","environmental epidemiology",""
"P3","ACC_261","C","Data Interpretation","PhD-screening","exoplanet spectroscopy",""
"P3","ACC_262","C","Methodological Reasoning","C1-high","planetary atmospheres",""
"P3","ACC_263","C","Evidence-to-Claim Mapping","C2-entry","exoplanet atmospheric science",""
"P3","ACC_264","C","Data Interpretation","C2-secure","conservation genomics",""
"P3","ACC_265","C","Methodological Reasoning","PhD-screening","biodiversity monitoring",""
"P3","ACC_266","C","Evidence-to-Claim Mapping","C1-high","machine learning methodology",""
"P3","ACC_267","C","Data Interpretation","C2-entry","tabular machine learning",""
"P3","ACC_268","C","Methodological Reasoning","C2-secure","robotics",""
"P3","ACC_269","C","Evidence-to-Claim Mapping","PhD-screening","robotic perception",""
"P3","ACC_270","C","Data Interpretation","C1-high","embodied AI",""
"P3","ACC_271","C","Methodological Reasoning","C2-entry","computational structural biology",""
"P3","ACC_272","C","Evidence-to-Claim Mapping","C2-secure","climate informatics",""
"P3","ACC_273","C","Data Interpretation","PhD-screening","atmospheric modelling",""
"P3","ACC_274","C","Methodological Reasoning","C1-high","earth-system AI",""
"P3","ACC_275","C","Evidence-to-Claim Mapping","C2-entry","climate modelling",""
"P3","ACC_276","C","Data Interpretation","C2-secure","clinical AI",""
"P3","ACC_277","C","Methodological Reasoning","PhD-screening","translational medicine",""
"P3","ACC_278","C","Evidence-to-Claim Mapping","C1-high","computational pathology",""
"P3","ACC_279","C","Data Interpretation","C2-entry","multimodal pathology",""
"P3","ACC_280","C","Methodological Reasoning","C2-secure","meta-science",""
"P3","ACC_281","C","Evidence-to-Claim Mapping","PhD-screening","research evaluation",""
"P3","ACC_282","C","Data Interpretation","C1-high","science communication",""
"P3","ACC_283","C","Methodological Reasoning","C2-entry","energy systems",""
"P3","ACC_284","C","Evidence-to-Claim Mapping","C2-secure","clean-energy planning",""
"P3","ACC_285","C","Data Interpretation","PhD-screening","permafrost carbon science",""
"P3","ACC_286","C","Methodological Reasoning","C1-high","cryosphere geochemistry",""
"P3","ACC_287","C","Evidence-to-Claim Mapping","C2-entry","carbon-cycle science",""
"P3","ACC_288","C","Data Interpretation","C2-secure","atmospheric health science",""
"P3","ACC_289","C","Methodological Reasoning","PhD-screening","climate attribution",""
"P3","ACC_290","C","Evidence-to-Claim Mapping","C1-high","environmental epidemiology",""
"P3","ACC_291","C","Data Interpretation","C2-entry","exoplanet spectroscopy",""
"P3","ACC_292","C","Methodological Reasoning","C2-secure","planetary atmospheres",""
"P3","ACC_293","C","Evidence-to-Claim Mapping","PhD-screening","exoplanet atmospheric science",""
"P3","ACC_294","C","Data Interpretation","C1-high","conservation genomics",""
"P3","ACC_295","C","Methodological Reasoning","C2-entry","biodiversity monitoring",""
"P3","ACC_296","C","Evidence-to-Claim Mapping","C2-secure","machine learning methodology",""
"P3","ACC_297","C","Data Interpretation","PhD-screening","tabular machine learning",""
"P3","ACC_298","C","Methodological Reasoning","C1-high","robotics",""
"P3","ACC_299","C","Evidence-to-Claim Mapping","C2-entry","robotic perception",""
"P3","ACC_300","C","Data Interpretation","C2-secure","embodied AI",""
